id,name,realName
306,305,Auriparus flaviceps,Verdin
307,306,Geothlypis tolmiei,MacGillivray's warbler
308,307,Columba livia,Rock dove
309,308,Setophaga citrina,Hooded warbler
310,309,Setophaga cerulea,Cerulean warbler
311,310,Columba palumbus,Common wood pigeon
312,311,Piranga bidentata,Flame-colored tanager
313,312,Patagioenas leucocephala,White-crowned pigeon
314,313,Patagioenas fasciata,Band-tailed pigeon
315,314,Patagioenas flavirostris,Red-billed pigeon
316,315,Setophaga discolor,Prairie warbler
317,316,Chordeiles minor,Common nighthawk
318,317,Chordeiles acutipennis,Lesser nighthawk
319,318,Platalea leucorodia,Eurasian spoonbill
320,319,Phalaenoptilus nuttallii,Common poorwill
321,320,Haemorhous mexicanus,House finch
322,321,Haemorhous purpureus,Purple finch
323,322,Nyctidromus albicollis,Pauraque
324,323,Campephilus guatemalensis,Pale-billed woodpecker
325,324,Toxostoma rufum,Brown thrasher
326,325,Leptotila verreauxi,White-tipped dove
327,326,Nyctibius jamaicensis,Northern potoo
328,327,Anas penelope,Eurasian wigeon
329,328,Buteo plagiatus,Gray hawk
330,329,Selasphorus calliope,Calliope hummingbird
331,330,Megascops kennicottii,Western screech owl
332,331,Porphyrio poliocephalus,Grey-headed swamphen
333,332,Megascops asio,Eastern screech owl
334,333,Zenaida auriculata,Eared dove
335,334,Hymenolaimus malacorhynchos,Blue duck
336,335,Setophaga caerulescens,Black-throated blue warbler
337,336,Camptostoma imberbe,Northern beardless tyrannulet
338,337,Caracara plancus,Crested caracara
339,338,Columbina passerina,Common ground dove
340,339,Eupsittula nana,Olive-throated parakeet
341,340,Nestor notabilis,Kea
342,341,Columbina talpacoti,Ruddy ground dove
343,342,Geopelia striata,Zebra dove
344,343,Athene noctua,Little owl
345,344,Crotophaga ani,Smooth-billed ani
346,345,Sialia sialis,Eastern bluebird
347,346,Platalea alba,African spoonbill
348,347,Bubo virginianus,Great horned owl
349,348,Petrochelidon fulva,Cave swallow
350,349,Progne subis,Purple martin
351,350,Setophaga coronata auduboni,Setophaga coronata auduboni
352,351,Hirundo neoxena,Welcome swallow
353,352,Hirundo rustica,Barn swallow
354,353,Calidris virgata,Surfbird
355,354,Calidris pugnax,Ruff (bird)
356,355,Platalea regia,Royal spoonbill
357,356,Tachycineta thalassina,Violet-green swallow
358,357,Bostrychia hagedash,Hadada ibis
359,358,Riparia riparia,Sand martin
360,359,Eudocimus albus,American white ibis
361,360,Plegadis falcinellus,Glossy ibis
362,361,Plegadis chihi,White-faced ibis
363,362,Corvus corax,Common raven
364,363,Stelgidopteryx serripennis,Northern rough-winged swallow
365,364,Sula dactylatra,Masked booby
366,365,Sula sula,Red-footed booby
367,366,Sula leucogaster,Brown booby
368,367,Morus serrator,Australasian gannet
369,368,Eudyptula minor,Little penguin
370,369,Megadyptes antipodes,Yellow-eyed penguin
371,370,Scopus umbretta,Hamerkop
372,371,Troglodytes troglodytes,Eurasian wren
373,372,Calidris canutus,Red knot
374,373,Lanius collurio,Red-backed shrike
375,374,Calidris bairdii,Baird's sandpiper
376,375,Meleagris gallopavo intermedia,Wild turkey
377,376,Calidris mauri,Western sandpiper
378,377,Calidris maritima,Purple sandpiper
379,378,Calidris alpina,Dunlin
380,379,Calidris ferruginea,Curlew sandpiper
381,380,Calidris melanotos,Pectoral sandpiper
382,381,Limnodromus griseus,Short-billed dowitcher
383,382,Malurus cyaneus,Superb fairywren
384,383,Tringa nebularia,Common greenshank
385,384,Todiramphus sanctus vagans,Todiramphus sanctus vagans
386,385,Tringa ochropus,Green sandpiper
387,386,Tringa glareola,Wood sandpiper
388,387,Tringa melanoleuca,Greater yellowlegs
389,388,Tringa flavipes,Lesser yellowlegs
390,389,Numenius arquata,Eurasian curlew
391,390,Numenius phaeopus,Eurasian whimbrel
392,391,Phalacrocorax carbo novaehollandiae,Phalacrocorax carbo novaehollandiae
